Date,Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014-01-01,0.0,0.0,0.0,26.3,28.8,24.3,10.8,34.2
2014-01-02,0.0,0.0,0.0,26.9,30.7,24.6,11.5,38.2
2014-01-03,4.4,4.4,4.6,26.5,29.5,24.9,9.7,34.2
2014-01-04,3.8,3.8,3.8,26.4,31.2,24.7,8.1,32.8
2014-01-05,1.2,1.6,2.0,24.6,25.3,23.6,8.4,27.0
2014-01-06,21.8,26.2,30.6,25.0,27.2,23.1,6.2,29.5
2014-01-07,2.0,2.0,2.0,26.5,30.6,24.3,8.0,27.4
2014-01-08,0.0,0.0,0.0,26.9,30.8,24.4,11.7,34.6
2014-01-09,1.4,2.0,2.6,25.4,27.5,23.9,6.0,27.4
2014-01-10,0.0,0.0,0.0,26.9,31.9,24.1,6.0,27.4
2014-01-11,1.8,1.8,1.8,26.5,30.9,23.6,12.8,37.4
2014-01-12,0.2,0.2,0.2,25.9,28.3,24.4,11.7,39.2
2014-01-13,0.0,0.0,0.0,26.4,29.3,24.5,14.8,43.2
2014-01-14,0.2,0.2,0.2,26.1,29.6,23.9,13.3,44.3
2014-01-15,0.0,0.0,0.0,25.4,28.2,23.9,12.8,44.3
2014-01-16,0.0,0.0,0.0,25.6,28.4,23.5,13.9,39.6
2014-01-17,0.0,0.0,0.0,25.6,28.6,23.5,14.3,41.8
2014-01-18,0.0,0.0,0.0,25.6,28.5,23.5,14.0,42.5
2014-01-19,0.0,0.0,0.0,25.6,29.0,23.5,13.2,39.6
2014-01-20,0.0,0.0,0.0,25.6,29.2,23.7,14.2,37.4
2014-01-21,0.0,0.0,0.0,25.5,28.7,23.4,14.0,39.6
2014-01-22,0.0,0.0,0.0,25.0,27.9,23.0,13.5,40.3
2014-01-23,0.0,0.0,0.0,25.2,28.7,23.1,13.0,41.8
2014-01-24,0.0,0.0,0.0,25.2,28.3,23.0,12.6,35.3
2014-01-25,0.0,0.0,0.0,25.2,28.7,23.1,12.4,38.5
2014-01-26,0.0,0.0,0.0,25.2,29.3,22.5,11.3,37.1
2014-01-27,0.0,0.0,0.0,25.2,28.7,22.6,13.5,39.2
2014-01-28,0.0,0.0,0.0,26.1,29.7,24.1,14.0,40.7
2014-01-29,0.0,0.0,0.0,26.0,30.0,23.4,14.5,46.4
2014-01-30,0.0,0.0,0.0,25.5,30.3,22.6,13.2,53.6
2014-01-31,0.0,0.0,0.0,25.8,30.6,22.4,13.8,36.4
2014-02-01,0.0,0,0.0,25.7,32.4,21.8,10.9,33.1
2014-02-02,0.0,0,0.0,25.4,30.5,22.5,10.2,31.0
2014-02-03,0.0,0,0.0,25.9,31.7,23.0,10.8,29.9
2014-02-04,0.0,0,0.0,26.2,31.8,22.4,10.6,32.4
2014-02-05,0.0,0,0.0,25.9,32.0,22.5,11.6,35.6
2014-02-06,0.0,0,0.0,26.2,31.7,23.0,10.5,35.3
2014-02-07,0.0,0,0.0,26.3,31.5,23.6,10.1,27.0
2014-02-08,10.6,15,15.6,26.3,31.7,23.8,9.4,32.0
2014-02-09,0.0,0,0.0,27.0,32.6,24.2,7.9,29.2
2014-02-10,0.0,0,0.0,27.6,33.4,24.3,8.4,27.7
2014-02-11,0.0,0,0.0,27.2,31.7,24.7,11.1,33.1
2014-02-12,0.0,0,0.0,27.1,32.5,24.1,12.1,37.8
2014-02-13,0.0,0,0.0,27.5,32.6,24.9,12.5,40.7
2014-02-14,0.0,0,0.0,27.0,30.9,24.7,12.8,37.1
2014-02-15,0.0,0,0.0,27.1,31.0,24.7,14.4,41.0
2014-02-16,0.0,0,0.0,26.9,30.9,24.7,12.9,38.5
2014-02-17,0.0,0,0.0,27.0,30.7,24.9,14.6,36.4
2014-02-18,0.0,0,0.0,27.4,32.2,24.8,13.0,34.6
2014-02-19,0.0,0,0.0,27.1,32.0,24.5,12.0,35.3
2014-02-20,0.0,0,0.0,27.1,31.3,24.7,15.2,42.5
2014-02-21,0.0,0,0.0,26.9,29.8,24.9,15.7,43.2
2014-02-22,0.0,0,0.0,27.5,32.4,24.5,14.8,51.1
